#{"t_start": 1790206915.9220726, "env_id": "None"}
r,l,t
-396.408819,145,9207.739226
260.032918,102,9229.416656
220.010271,114,9247.495005
-50.94266,121,9273.411654
-108.184899,141,9298.511303
-57.643894,123,9345.264627
219.001759,113,9376.875284
-57.568844,124,9393.468657
-122.89539,139,9411.538706
244.776065,102,9437.705173
-110.084729,142,9456.285377
257.299792,102,9470.421249
187.161989,123,9499.81423
-48.897285,125,9518.234262
-223.101001,121,9534.335041
249.510319,102,9556.54767
-147.342988,139,9574.867111
-217.380627,137,9593.985599
-118.872085,142,9615.771134
248.172445,105,9659.526144
-375.682033,137,9681.943986
-94.732461,128,9700.13006
208.071244,124,9727.739065
-305.279199,140,9766.945611
-231.916056,148,9786.410888
-63.991811,125,9803.233114
-173.287388,200,9830.2405
-107.6737,126,9847.109624
-216.920569,138,9869.012058
-124.653266,135,9891.591657
-120.482372,140,9912.128863
-195.145483,116,9937.181047
183.839667,113,9952.327945
-191.890404,116,9970.774051
-101.298668,136,9997.126851
-60.742203,129,10014.606808
-115.91025,144,10033.860872
-102.160487,133,10053.859212
-521.525678,200,10088.798423
-167.483615,127,10106.286501
-320.483713,165,10139.466665
-57.038454,129,10161.783898
-103.90437,135,10179.306863
-57.952323,128,10202.828275
-252.639659,101,10222.678937
257.874037,105,10237.600711
-378.864573,138,10256.878623
-59.125583,130,10274.589503
208.417595,118,10290.412932
252.735452,108,10305.125895
-219.017922,141,10329.040747
-60.434447,128,10364.836586
196.095666,122,10380.871657
258.498126,105,10395.366797
-207.233105,141,10414.812706
-210.36227,120,10433.846417
-163.018828,142,10452.753943
-281.070592,131,10470.3087
-167.067338,135,10492.533106
-52.492951,129,10511.562029
-216.961794,143,10532.800279
-66.641374,132,10574.721054
-128.270435,140,10593.954755
-54.972467,130,10611.623247
-107.396573,136,10645.974231
-72.741538,130,10664.030937
153.290423,125,10680.68751
-77.679033,127,10697.737786
-162.862953,139,10716.342683
-66.734554,130,10733.77845
205.55577,113,10749.794848
252.858855,109,10775.858004
-171.647869,148,10806.61411
-68.660129,129,10842.57972
-220.774049,150,10862.228274
-62.460558,126,10879.044904
-154.995416,143,10897.880113
255.687252,110,10912.980494
-111.721262,142,10940.933033
253.177943,111,10971.179199
-149.43552,140,10990.370859
259.394613,108,11015.554318
202.143521,118,11031.327683
-194.626166,116,11046.897391
-306.886789,146,11082.300733
244.094315,109,11101.77879
-117.833753,144,11123.831061
-53.032784,131,11141.430953
217.633801,115,11156.922981
-57.830648,129,11174.663213
-385.480714,164,11196.030474
-67.805318,129,11225.73573
-91.38645,142,11247.601827
-260.345289,130,11265.177052
-99.425195,141,11283.717488
244.826955,106,11298.139456
-119.661867,137,11317.073414
250.845599,103,11333.380376
-356.203228,136,11351.213223
-50.570195,127,11385.38758
202.92606,119,11423.857957
-416.940581,163,11454.307079
-121.796111,145,11474.222359
-78.420906,129,11492.935949
-222.089051,144,11511.872803
-61.924922,130,11531.845428
-227.930496,141,11552.624475
-114.756108,134,11570.538077
-147.06578,142,11589.351132
260.099959,105,11603.556804
-111.553907,142,11622.566803
-74.181074,129,11640.477507
-152.18821,141,11659.208882
-52.754889,130,11677.132389
-251.941292,142,11715.728863
-246.001743,132,11745.486884
214.471163,119,11761.103627
-51.754068,132,11778.826445
197.728513,122,11795.166445
-57.390406,132,11835.758226
-112.024481,142,11856.592174
-60.711013,132,11889.476647
-294.933035,138,11907.568109
-141.981203,133,11926.815449
-383.99669,162,11950.245426
254.041707,108,11964.931333
204.615176,115,11982.087054
-115.053347,140,12009.344943
-104.344102,139,12034.084446
-56.227362,130,12051.515377
-288.249621,143,12070.706825
247.138204,107,12086.971098
-169.751169,145,12106.803072
255.380315,110,12121.67335
-200.259953,165,12143.61229
-60.651605,130,12161.048476
-243.624976,142,12179.836963
-58.553739,133,12198.116389
-99.380748,137,12220.186441
-106.464658,136,12264.375271
-201.324485,200,12293.985885
-210.8667,122,12311.453934
-416.939287,166,12340.946464
-111.930802,132,12364.177662
-180.770665,168,12386.285703
245.965587,105,12400.761835
-165.278799,149,12430.311198
-181.206281,114,12446.721875
-94.769033,148,12466.053131
260.586447,108,12481.20785
-116.627586,144,12499.966061
-125.157055,128,12522.356692
-176.559027,136,12540.30735
247.731622,111,12555.298182
206.685988,116,12573.548471
-200.006039,114,12589.29219
-120.327535,148,12612.594821
258.631446,109,12627.723049
-125.355315,145,12646.455053
-50.590135,132,12664.570848
-442.570748,169,12686.494996
-209.788592,121,12702.737245
190.016367,121,12721.492282
-189.941052,122,12738.108784
-108.990729,148,12763.513308
260.420302,107,12779.857767
-175.227447,146,12808.804235
-256.392983,132,12826.623287
-101.354813,142,12845.194145
254.558433,108,12860.434332
-111.180398,145,12880.524597
254.623793,106,12894.965944
-207.956674,143,12913.770115
-63.160065,136,12934.258565
-132.45492,134,12977.902079
-59.600212,135,12995.829119
-160.925862,139,13016.49657
-422.734488,168,13040.216304
221.29397,117,13055.843055
-48.518565,130,13084.646498
-90.828714,145,13110.249423
-152.127969,133,13129.534841
205.878175,122,13146.615695
246.65678,110,13161.592265
-91.423261,143,13180.348507
256.621121,106,13213.303409
-161.262685,149,13233.277178
235.774512,107,13253.575771
-176.003526,144,13273.137805
255.200877,107,13287.640716
-148.696854,153,13310.434891
-187.815599,118,13328.578702
176.79465,127,13346.401139
258.717083,109,13361.299793
189.009045,122,13377.518523
-62.703606,134,13402.899
